Problem Description,Results
Headlights flicker,Resolved
Power window failure,Resolved
Engine misfire,Resolved
Transmission overheating,Resolved
Battery drains fast,Resolved
Slipping gears,Resolved
Car wont start,Monitoring
Engine overheating,Resolved
Battery drains fast,Resolved
Power window failure,Resolved
Soft brake pedal,Resolved
Engine overheating,Resolved
Transmission overheating,Resolved
Engine overheating,Resolved
Headlights flicker,Resolved
Brake noise,Resolved
Power window failure,Resolved
Battery drains fast,Resolved
Check engine light on,Resolved
Gear grinding,Resolved
Smoke from exhaust,Resolved
Squealing brakes,Resolved
Squealing brakes,Resolved
Battery warning light,Monitoring
Engine stalling,Resolved
Battery drains fast,Resolved
Vibration when braking,Resolved
Gear shift hard,Resolved
Battery drains fast,Resolved
Transmission overheating,Unresolved
Battery drains fast,Resolved
Engine overheating,Resolved
Dashboard flickering,Unresolved
Engine misfire,Resolved
Squealing brakes,Resolved
Gear grinding,Resolved
Clicking sound when starting,Resolved
Battery drains fast,Resolved
Clicking sound when starting,Resolved
Car wont start,Resolved
Clicking sound when starting,Resolved
Clicking sound when starting,Resolved
Car wont start,Unresolved
Check engine light on,Resolved
Squealing brakes,Monitoring
Squealing brakes,Resolved
Brake pedal hard,Resolved
Headlights flicker,Resolved
Car wont start,Resolved
Squealing brakes,Resolved
Car wont start,Resolved
Slipping gears,Resolved
Car wont start,Resolved
Headlights flicker,Resolved
Battery drains fast,Resolved
Engine overheating,Resolved
Clicking sound when starting,Resolved
Power window failure,Resolved
Engine overheating,Resolved
Car wont start,Resolved
Engine misfire,Resolved
Engine overheating,Resolved
Vibration when braking,Resolved
Engine stalling,Resolved
Slipping gears,Resolved
Brake pedal hard,Resolved
Check engine light on,Resolved
Engine misfire,Resolved
Transmission overheating,Resolved
Headlights flicker,Resolved
Battery drains fast,Resolved
Battery drains fast,Resolved
Brake noise,Resolved
Check engine light on,Resolved
Battery warning light,Monitoring
Gear shift hard,Resolved
Brake pedal hard,Resolved
Engine misfire,Resolved
Battery drains fast,Resolved
Engine stalling,Resolved
Clicking sound when starting,Monitoring
Dashboard flickering,Resolved
Car wont start,Resolved
Battery warning light,Resolved
Power window failure,Unresolved
Smoke from exhaust,Resolved
Vibration when braking,Resolved
Smoke from exhaust,Unresolved
Headlights flicker,Resolved
